,Rank,Song Title,Song Artist,Year,Genre
83,84,Georgia On My Mind,Ray Charles,1960,Oldies
84,85,I Say A Little Prayer,Aretha Franklin,1968,Oldies
85,86,Eight Days A Week,Beatles,1965,Oldies
86,87,Then He Kissed Me,Crystals,1963,Oldies
87,88,And I Love Her,Beatles,1964,Ballad
88,89,Come Together,Beatles,1969,Oldies
89,90,Honky Tonk Women,Rolling Stones,1969,Oldies
90,91,Everybody Loves Somebody,Dean Martin,1964,Oldies
91,92,Stop! In The Name Of Love,Supremes,1965,Oldies
92,93,Barbara Ann,Beach Boys,1966,Oldies
93,94,California Girls,Beach Boys,1965,Oldies
94,95,All My Loving,Beatles,1964,Oldies
95,96,Born To Be Wild,Steppenwolf,1968,Oldies
96,97,Down On The Corner/Fortunate Son,Creedence Clearwater Revival,1969,Oldies
97,98,This Magic Moment,Drifters,1960,Oldies
98,99,My Cherie Amour,Stevie Wonder,1969,Oldies
99,100,Chain Of Fools,Aretha Franklin,1967,Oldies
0,1,Wonderful Tonight,Eric Clapton,1978,Ballad
1,2,YMCA,Village People,1975,Disco
2,3,Sweet Home Alabama,Lynyrd Skynyrd,1974,Rock
3,4,We Are Family,Sister Sledge,1979,Popular
4,5,Old Time Rock & Roll,Bob Seger & The Silver Bullet Band,1978,Rock
5,6,Don't Stop 'Til You Get Enough,Michael Jackson,1979,Popular
6,7,Dancing Queen,ABBA,1976,Disco
7,8,Brick House,Commodores,1977,Disco
8,9,Play That Funky Music,Wild Cherry,1976,Funk
9,10,How Sweet It Is (To Be Loved By You),James Taylor,1975,Popular
10,11,September,"Earth, Wind & Fire",1978,Disco
11,12,Stayin' Alive,Bee Gees,1978,Disco
12,13,Let's Stay Together,Al Green,1972,R&B
13,14,Piano Man,Billy Joel,1974,Ballad
14,15,Signed Sealed Delivered,Stevie Wonder,1970,Oldies
15,16,Get Down Tonight,KC & The Sunshine Band,1975,Disco
16,17,I Want You To Want Me,Cheap Trick,1979,Rock
17,18,Margaritaville,Jimmy Buffett,1977,Popular
18,19,ABC,Jackson 5,1970,Oldies
19,20,I Will Survive,Gloria Gaynor,1979,Disco
20,21,Let's Get It On,Marvin Gaye,1973,R&B
21,22,Bennie And The Jets,Elton John,1974,Oldies
22,23,Bohemian Rhapsody,Queen,1975,Oldies
23,24,Isn't She Lovely,Stevie Wonder,1976,Country
24,25,Simple Man,Lynyrd Skynyrd,1973,Rock
25,26,Hotel California,Eagles,1977,Rock
26,27,"December 1963 (Oh, What A Night)",Four Seasons,1976,Oldies
27,28,Walk This Way,Aerosmith,1976,Rock
28,29,American Girl,Tom Petty & Heartbreakers,1976,Rock
29,30,Fat Bottomed Girls,Queen,1978,Alternative
30,31,Last Dance,Donna Summer,1978,Disco
31,32,"You're the First, the Last, My Everything",Barry White,1975,R&B
32,33,Shake Your Booty,KC & The Sunshine Band,1976,Disco
33,34,You're The One That I Want,John Travolta & Olivia Newton,1978,Popular
34,35,"Can't Get Enough Of Your Love, Babe",Barry White,1974,R&B
35,36,Is This Love?,Bob Marley & The Wailers,1978,Reggae
36,37,Your Song,Elton John,1971,Ballad
37,38,This Will Be (An Everlasting Love),Natalie Cole,1975,Oldies
38,39,Love And Happiness,Al Green,1972,Rock
39,40,You're My Best Friend,Queen,1976,Oldies
40,41,Family Tradition,"Hank Williams, Jr.",1979,Country
41,42,Superstition,Stevie Wonder,1973,Oldies
42,43,Into The Mystic,Van Morrison,1970,Oldies
43,44,Tiny Dancer,Elton John,1972,Oldies
44,45,More Than A Feeling,Boston,1976,Oldies
45,46,Chicken Dance,Various,1977,Other
46,47,Paradise By The Dashboard Light,Meat Loaf,1978,Oldies
47,48,Just The Way You Are,Billy Joel,1978,Ballad
48,49,The Devil Went Down To Georgia,Charlie Daniels Band,1979,Country
49,50,Moondance,Van Morrison,1970,Popular
50,51,Boogie Shoes,KC & The Sunshine Band,1977,Popular
51,52,Crazy Love,Van Morrison,1970,Oldies
52,53,American Pie,Don McLean,1972,Oldies
53,54,Black Betty,Ram Jam,1977,Oldies
54,55,Landslide,Fleetwood Mac,1975,Ballad
55,56,The Joker,Steve Miller Band,1973,Rock
56,57,You Are The Sunshine Of My Life,Stevie Wonder,1973,Oldies
57,58,Dancing In The Moonlight,King Harvest,1972,Oldies
58,59,Get Up Off Of That Thing,James Brown,1977,R&B
59,60,Cecilia,Simon & Garfunkel,1970,Oldies
60,61,Three Little Birds,Bob Marley & The Wailers,1977,Reggae
61,62,You Should Be Dancing,Bee Gees,1976,Oldies
62,63,You Are So Beautiful,Joe Cocker,1975,Ballad
63,64,Crocodile Rock,Elton John,1973,Oldies
64,65,You Sexy Thing,Hot Chocolate,1976,Popular
65,66,Maybe I'm Amazed,Paul McCartney,1970,Rock
66,67,Rock The Boat,Hues Corporation,1974,Popular
67,68,Some Kind of Wonderful,Grand Funk Railroad,1974,Rock
68,69,Rock And Roll All Nite,Kiss,1975,Alternative
69,70,Only The Good Die Young,Billy Joel,1978,Rock
70,71,That's The Way (I Like It),KC & The Sunshine Band,1975,Oldies
71,72,Got To Give It Up,Marvin Gaye,1977,Oldies
72,73,Take Me Home Country Roads,John Denver,1971,Country
73,74,Free Bird,Lynyrd Skynyrd,1974,Oldies
74,75,Rapper's Delight,Sugarhill Gang,1979,R&B
75,76,Somebody to Love,Queen,1976,Popular
76,77,Beast Of Burden,Rolling Stones,1978,Alternative
77,78,Let It Be,Beatles,1970,Ballad
78,79,Take A Chance On Me,ABBA,1978,Popular
79,80,Ain't No Mountain High Enough,Diana Ross,1970,Oldies
80,81,Night Fever,Bee Gees,1978,Oldies
81,82,How Deep Is Your Love,Bee Gees,1977,Oldies
82,83,Ladies Night,Kool & The Gang,1979,Disco
83,84,Sweet Emotion,Aerosmith,1975,Rock
84,85,Always And Forever,Heatwave,1978,Ballad
85,86,Shake Your Groove Thing,Peaches & Herb,1979,Disco
86,87,New York State Of Mind,Billy Joel,1976,Popular
87,88,I'll Be There,Jackson 5,1970,Oldies
88,89,Burning Love,Elvis Presley,1972,Oldies
89,90,Joy To The World,Three Dog Night,1971,Oldies
90,91,Lean On Me,Bill Withers,1972,Oldies
91,92,Rock Lobster,B-52's,1979,Rock
92,93,Beer Barrel Polka,Bobby Vinton,1975,Polka
93,94,The Loco-Motion,Grand Funk Railroad,1974,Oldies
94,95,Jamming,Bob Marley & The Wailers,1977,Reggae
95,96,Soul Man,Blues Brothers,1979,Rock
96,97,Born To Run,Bruce Springsteen,1975,Rock
97,98,My Sharona,Knack,1979,Oldies
98,99,Gimme Three Steps,Lynyrd Skynyrd,1973,Rock
99,100,Summer Nights,John Travolta & Olivia Newton,1978,Oldies
0,1,Don't Stop Believin',Journey,1981,Rock
1,2,You Shook Me All Night Long,AC/DC,1980,Rock
2,3,Love Shack,B-52's,1989,Popular
3,4,Livin' On A Prayer,Bon Jovi,1986,Rock
4,5,Pour Some Sugar On Me,Def Leppard,1987,Rock
5,6,Billie Jean,Michael Jackson,1982,Popular
6,7,Celebration,Kool & The Gang,1980,Disco
