,artist,album_name,album_uri,track,release_date,id,song_uri,track_href,analysis_url,type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
30,Clueso,Handgepäck I,spotify:album:4ckkL9Kjq737Hcuqe4cWAk,Dünnes Eis,2018-08-24,76J91m1FHx4CB7OdpojRS2,spotify:track:76J91m1FHx4CB7OdpojRS2,https://api.spotify.com/v1/tracks/76J91m1FHx4CB7OdpojRS2,https://api.spotify.com/v1/audio-analysis/76J91m1FHx4CB7OdpojRS2,audio_features,0.762,0.288,2,-11.151,1,0.0391,0.894,0.00182,0.452,0.455,96.007,211069,4
31,Clueso,Handgepäck I,spotify:album:4ckkL9Kjq737Hcuqe4cWAk,Morgen ist der Winter vorbei,2018-08-24,29thuGn0x3LYzNrF7ju23B,spotify:track:29thuGn0x3LYzNrF7ju23B,https://api.spotify.com/v1/tracks/29thuGn0x3LYzNrF7ju23B,https://api.spotify.com/v1/audio-analysis/29thuGn0x3LYzNrF7ju23B,audio_features,0.656,0.226,7,-9.409,1,0.0348,0.922,0.000734,0.25,0.318,116.142,199529,4
32,Clueso,Handgepäck I,spotify:album:4ckkL9Kjq737Hcuqe4cWAk,Paris,2018-08-24,6YWZysg2Ua4Ah7MtuVB1sR,spotify:track:6YWZysg2Ua4Ah7MtuVB1sR,https://api.spotify.com/v1/tracks/6YWZysg2Ua4Ah7MtuVB1sR,https://api.spotify.com/v1/audio-analysis/6YWZysg2Ua4Ah7MtuVB1sR,audio_features,0.404,0.268,5,-9.977,0,0.0361,0.941,7.58e-05,0.868,0.567,155.568,263646,3
33,Clueso,Neuanfang,spotify:album:6W2dRaTI0N8DxxcK4BrUcH,Neuanfang,2016-10-14,3uuCSRW0BOayXKGN3N8PNQ,spotify:track:3uuCSRW0BOayXKGN3N8PNQ,https://api.spotify.com/v1/tracks/3uuCSRW0BOayXKGN3N8PNQ,https://api.spotify.com/v1/audio-analysis/3uuCSRW0BOayXKGN3N8PNQ,audio_features,0.655,0.657,7,-6.399,1,0.0362,0.0129,6.07e-06,0.326,0.658,128.005,186160,4
34,Clueso,Neuanfang,spotify:album:6W2dRaTI0N8DxxcK4BrUcH,Achterbahn,2016-10-14,1DS3d4C8LjzlQhwzOFq8bI,spotify:track:1DS3d4C8LjzlQhwzOFq8bI,https://api.spotify.com/v1/tracks/1DS3d4C8LjzlQhwzOFq8bI,https://api.spotify.com/v1/audio-analysis/1DS3d4C8LjzlQhwzOFq8bI,audio_features,0.785,0.866,4,-5.376,0,0.0478,0.153,0.0,0.0694,0.827,122.748,210960,4
35,Clueso,Neuanfang,spotify:album:6W2dRaTI0N8DxxcK4BrUcH,Neue Luft,2016-10-14,0W7vSUiPbRjuG4L5sHD8V8,spotify:track:0W7vSUiPbRjuG4L5sHD8V8,https://api.spotify.com/v1/tracks/0W7vSUiPbRjuG4L5sHD8V8,https://api.spotify.com/v1/audio-analysis/0W7vSUiPbRjuG4L5sHD8V8,audio_features,0.657,0.42,2,-8.492,0,0.028,0.545,4.81e-05,0.0691,0.451,77.982,255667,4
36,Clueso,Neuanfang,spotify:album:6W2dRaTI0N8DxxcK4BrUcH,Erinnerungen,2016-10-14,0bv4WfoKr5rWs9V2GxuaOW,spotify:track:0bv4WfoKr5rWs9V2GxuaOW,https://api.spotify.com/v1/tracks/0bv4WfoKr5rWs9V2GxuaOW,https://api.spotify.com/v1/audio-analysis/0bv4WfoKr5rWs9V2GxuaOW,audio_features,0.634,0.789,5,-7.86,0,0.0408,0.25,0.00187,0.1,0.538,89.006,283920,4
37,Clueso,Neuanfang,spotify:album:6W2dRaTI0N8DxxcK4BrUcH,Wenn du liebst,2016-10-14,7Cucc60UNVCKSYcdfIPFKe,spotify:track:7Cucc60UNVCKSYcdfIPFKe,https://api.spotify.com/v1/tracks/7Cucc60UNVCKSYcdfIPFKe,https://api.spotify.com/v1/audio-analysis/7Cucc60UNVCKSYcdfIPFKe,audio_features,0.702,0.32,7,-10.407,0,0.0293,0.836,9.05e-05,0.204,0.489,89.008,242960,4
38,Clueso,Neuanfang,spotify:album:6W2dRaTI0N8DxxcK4BrUcH,Lass sie reden,2016-10-14,1jw4ePqfqpbEl2vp0buzua,spotify:track:1jw4ePqfqpbEl2vp0buzua,https://api.spotify.com/v1/tracks/1jw4ePqfqpbEl2vp0buzua,https://api.spotify.com/v1/audio-analysis/1jw4ePqfqpbEl2vp0buzua,audio_features,0.77,0.618,1,-7.442,1,0.0305,0.661,0.00298,0.171,0.849,127.979,249453,4
39,Clueso,Neuanfang,spotify:album:6W2dRaTI0N8DxxcK4BrUcH,Anderssein,2016-10-14,0BzFRWu9GSWZM0v6Zpij2k,spotify:track:0BzFRWu9GSWZM0v6Zpij2k,https://api.spotify.com/v1/tracks/0BzFRWu9GSWZM0v6Zpij2k,https://api.spotify.com/v1/audio-analysis/0BzFRWu9GSWZM0v6Zpij2k,audio_features,0.684,0.833,4,-5.628,0,0.0734,0.221,7.26e-05,0.0965,0.961,155.96,208827,4
